Cluster,Age,EducationLevel,YearsEmployed,Income,CardDebt,OtherDebt,Defaulted,DebtIncomeRatio,Count,Percentage
0,33.05,1.65,6.56,33.94,0.94,1.92,0.26,9.12,674,79.29
1,42.59,1.95,16.26,95.44,4.01,7.53,0.26,14.2,176,20.71
